Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max           Deleted,,,,,,,,,,,,,,Active,,,,,,,,,,,,,
B3750FG025        757063375001                    $1.93                    $S.9S      EA          Yes         ss                 0             2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 131 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,Description,,,,,,,,,Dept          Ma_ufacturer                                         Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,Barcode,,,,,Cost,,,,Price          Unit     Tax            Supplier 1       Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Min        Max           Deleted               Active
2                    QCom    QOH  Note        Multiplier
Yes Yes Yes
Yes Yes Yes Yes
Yes
Yes Yes Yes Yes
Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
ss   SSPB3750FG-037     SELECT FILBERT ORAi PB3750   PB3750FG037        757063375766,,,,,,,,,,,$2.62,,$7.95,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"4         No
3",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB3750FG050       SELECT FILBERT ORAi
PB3750   PB3750FG050        757063375018",,,,,,,,,,,$3.56,,$10.95,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"3         No
3",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750FG-075     SELECT FILBERT ORAi PB3750   PB3750FG075        757063375025,,,,,,,,,,,$4 .27,,$12.95,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"3         No
5",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB3750Fl-2           SELECT POINTED ROU
PB3750   PB3750Fl2              757063377159",,,,,,,,,,,$3 .61,,$10.95,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"4         No
3",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750FN-2          SELECTFAN2 PB3750   PB3750FN2            757063375575,,,,,,,,,,,$2.62,,$7.95,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"4         No
2",,,,,,,,,,,,,,,,,,,,,,,
ss        SSPB3750FS-10        SELECT FLAT SHADE PB3750   PB3750FS10           757063375186,,,,,,,,,,,$3.61,,$10.95,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"3         No
l",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750FS-12        SELECT FLAT SHADE PB3750   PB3750FS12           757063375193,,,,,,,,,,,$3.75,,$11.35,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"3         No
2",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB3750FS-2          SELECT FLAT SHADE
PB3750   PB3750FS2             757063375148",,,,,,,,,,,$1.61,,$4.95,,,,,,,BX,,,Yes,,,,ss,,,,,2,,,,,,0,,,"6         No
3",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB3750FS-20        SELECT FLAT SHADE
PB3750   PB3750FS20           757063377234",,,,,,,,,,,$4.79,,$14.75,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"3         No
3",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB3750FS-4          SELECT FLAT SHADE
PB3750   PB3750FS4             757063375155",,,,,,,,,,,$1.71,,$5.25,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"6         No
3",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750FS-6          SELECT FLAT SHADE PB3750   PB3750FS6             757063375162,,,,,,,,,,,$1.90,,$5.15,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"4         No
2",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB3750FS-8          SELECT FLAT SHADE
PB3750   PB3750FS8             757063375179",,,,,,,,,,,$2.62,,$7.95,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"4         No
I",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750FW-050    SELECT FLAT WASH 1/ PB3750   PB3750FW050       757063375469,,,,,,,,,,,$3.61,,$10.95,,,,,,,EA,,,Yes,,,,ss,,,,,2,,,,,,0,,,"3         No
3",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB3750FW-075    SELECT FLAT WASH 3/                                                                                                                                         2            3         No       Yes
PB3750   PB3750FW075       757063375476                    $4.27                  $12.95      EA        Yes         s                                     0            3
ss   SSPB3750FW-100    SELECT FLAT WASH 1                                                                                                                                          2            3         No       Yes
Yes Yes Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750FW100       757063375483,,,,,,,,,,,$4.87,,$14.75,,,,,,,,,,Yes,,,,s,,,,,,,,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750G-025        SELECT GRAINER 1/4 PB3750   PB3750G025          757063375292,,,,,,,,,,,$1.57,,$4.75,,,,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"4         No
4",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750G-050        SELECT GRAINER 1/21                                                                                                                                          2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3         No,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750G050          757063375308                    $3.61                  $10.95      EA        Yes         ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750G-075        SELECT GRAINER 3/41                                                                                                                                          2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3         No,,,,,,,,,,,,,,,,,,,,,,,
"3
B3750L-O            SELECT LINER 0                                                                                                                                                    3            6         No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PB3750   PB3750G075          757063375315                    $4.21                  $12.95      EA         Yes         ss                 0
ss   SSP
PB3750   PB3750LO               757063375254                    $1.67                    $5.05      EA        Yes         ss                 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
Page 132 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vendor   Item ID
Product ID  Alternate ID",,,,,,"Deseription
Barcode",,,,,Cost,,Dept,,,,"Maaufacturer
Price          Unit",,,,,,,Tax,,,Supplier 1,,,,"Location
Supplier 2",,,,"Mio       Max          Deleted
QCom   QOH     Not e",,,,,,,,,,,,,,,,"Active
Multiplier",,,,Fi,,,,,,,,,
"ss   SSPB37     50L-l PB3750   PB3750Ll
ss   SSPB37     50L-10-0 PB3750   PB3750Ll 00
ss   SSPB37     50L-2 PB3750   PB37S0L2
ss   SSPB37     50L-6 PB3750   PB3750L6
ss   SSPB37     50LB-012 PB3750   PB3750LB012
ss   SSP   B3750LB-025 PB3750   PB3750LB025
ss   SSP  B3750LB-037 PB3750   PB3750LB037
ss   SSPB37     50LB-050 PB3750   PB3750LB050
ss   S SPB3750LB-100 PB3750   PB3750LB100
ss   S SPB3750LM-OS0 PB3750   PB3750LM050
ss   SSP   B3750MAS-OI",,,,,,"SELECT LINER l 757063375261
SELECT LINER l 0/0 757063375247
SELECT LINER 2
757063375278
SELECT LINER 6
757063375285
SELECT LUNAR BLEN 757063375797
SELECT LUNAR BLEN 757063375711
SELECT LUNAR BLEN 757063375728
SELECT LUNAR BLEN 757063375735
SELECT LUNAR BLEN 757063375742
SELECT LUNAR MOP 757063375629
SELECT ANGULAR SH",,,,,"$1.70
$1.61
$1.73
$1.73
$1.63
Sl.73
$1.90
$2.10
$3.61
$3.61",,"I I I I I I I I I I
l",,,,"$5.15
$4.95
$5.25
$S.50
$4.95
$5.25
$5.75
$6.45
$10.95
$10.95",,,"EA
EA
EA EA EA
EA",,,,"Yes Yes Yes Yes Yes Yes Yes Yes Yes
Yes",,,"ss ss ss ss ss ss ss ss ss
ss",,,,"3
3
2
2
2
2
2
2
2
I 2",,,,,,,,"0
0
0
0
0
0
0
0
0
0",,,"6
6
4
4
4
4
4
4
3
2
6",,"No
5
No 3
No 3
No 4
No 3
No 3
No 2
No 2
No 3
No 2
No",,,,,,,"Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes
Yes",,,,"0
0
0
0
0
0
0
0
0
0",,"0
0
0
0
0
0
0
0
0
0",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PB3750   PB3750MAS0l 2
ss   SSPB37     50MBF-20-",,,,,,"757063377180
SELECT BRISTLE FAN",,,,,"l
$1.61",,1,,,,$4.95,,,,,,,Yes,,,ss,,,,2,,,,,,,,0,,,6,,"3
No",,,,,,,Yes,,,,0,,0,,,,,,,
PB3750   PB3750Ma F200,,,,,,757063377319,,,,,$1.63,,,,,,$4.95,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,3,,,,,,,,,,,0,,0,,,,,,,
ss   SSP   B37S0MFB-O,,,,,,SELECT FILBERT O MI,,,,,,,l,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,6,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PB3750   PB3750MFB0 ss   S SPB3750MFS-0 PB3750   PB3750MFS0
ss   SSP  B3750ML-20-0",,,,,,"757063377203
SELECT FLAT SHADE 757063377227
SELECT LINER 20/0 MI",,,,,"$1.61
$1.61",,l 1,,,,"$4.95
$4.95",,,EA EA,,,,Yes Yes,,,ss ss,,,,"2
2",,,,,,,,"0
0",,,"6
6",,"3
No 2
No",,,,,,,Yes Yes,,,,"0
0",,"0
0",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PB3750   PB3750ML200
ss   SSP   B3750MLB-O0",,,,,,"757063377241
SELECT LUNAR BLEN",,,,,$1.61,,l,,,,$4.95,,,EA,,,,Yes,,,ss,,,,2,,,,,,,,0,,,6,,"2
No",,,,,,,Yes,,,,0,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PB3750   PB3750MLB006
ss   SSP   B3750MM-025",,,,,,"757063377302
SELECT FLUFFY MOP",,,,,$1.61,,l,,,,$4.95,,,EA,,,,Yes,,,ss,,,,2,,,,,,,,0,,,4,,"3
No",,,,,,,Yes,,,,0,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PB3750   PB3750MM025
ss   SSP   B3750MM-20- PB37S0   PB3750MM200",,,,,,"757063377364
SELECT MONOGRAM 757063377326",,,,,"$1.82
$1.57",,l,,,,"$5.50
$4.75",,,EA EA,,,,Yes Yes,,,ss ss,,,,2,,,,,,,,"0
0",,,6,,"2
No 2",,,,,,,Yes,,,,"0
0",,"0
0",,,,,,,
ss   S SPB3750MR-l2 -0,,,,,,SELECT ROUND 12/0,,,,,,,I,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,6,,No,,,,,,,Yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750MR120,,,,,,757063377265,,,,,$1.61,,,,,,$4.95,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,1,,,,,,,Paae 133,,,,"0
of",,"0
186",,,,,,,
Vendor   Item ID,,,,,Description,,,,,,,,Dept         Ma_uf_c turcr                                     Location               Mia       Max           Deleted              Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,,Barcodc,,,,Cost,,,,Price          Unit     Tax            Supplier 1       Supplier2                   QCom   QOH      Note        Multiplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fi
0",
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
ss   SSPB3750MR-20-0   SELECT ROUND 20/0 PB3750   PB3750MR200       757063377258,,,,,,,,,,,$1.63,,1,,,$4.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"6         No
5",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750MR-5-0     SELECT ROUND 5/0 MI PB3750   PB3750MR50         757063377272,,,,,,,,,,,$1.61,,1,,,$4.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"6         No
0",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750MSP-10-   SELECT SPOTTER 10/0 PB3750   PB3750MSP100     757063377296,,,,,,,,,,,$1.61,,1,,,$4.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"6         No
3",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750MSP-20-   SELECT SPOTTER 20/0 PB3750   PB3750MSP200     757063377289,,,,,,,,,,,$1.61,,1,,,$4.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"6         N
1",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB37500M-025    SELECT OVAL MOP 1/ PB3750   PB37500M025       757063375490,,,,,,,,,,,$2.23,,1,,,$6.75,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"4         No
3",,,,,,,,,,,,,,,,,,,,,,,
"ss   SSPB37SOOM-OS0    SELECT OVAL MOP 1/
PB3750   PB37500M0S0       757063375506",,,,,,,,,,,$3.61,,1,,,$10.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"3         No
1",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB37500M-075    SELECT OVAL MOP 3/ PB3750   PB37500M075       757063375513,,,,,,,,,,,$4.27,,1,,,$12.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"3         No
3",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB37500M-100    SELECT OVAL MOP 11 PB3750   PB37500Ml00       757063375520,,,,,,,,,,,$4.79,,1,,,$14.75,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"3         No
2",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750PF2            SELECT POINTED FILB PB3750   PB3750PF2             757063377371,,,,,,,,,,,$1.79,,1,,,$5.50,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"6         No
2",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750PF4            SELECT POINTED FILB PB3750   PB3750PF4             757063377388,,,,,,,,,,,$2.56,,1,,,$7.75,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"4         No
3",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750PF6            SELECT POINTED FILB PB3750   PB3750PF6             757063377395,,,,,,,,,,,$3.47,,1,,,$10.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"4         No
4",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750PF8            SELECT POINTED FILB PB3750   PB3750PF8             757063377401,,,,,,,,,,,$4.27,,1,,,$12.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"3         No
3",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750R0             SELECT ROUND 0 PB3750   PB3750R0              757063375339,,,,,,,,,,,$1.63,,1,,,$5.00,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"6         No
2",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750Rl             SELECT ROUND 1 PB3750   PB3750Rl               757063375346,,,,,,,,,,,$1.68,,1,,,$5.10,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"6         No
l",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750Rl0           SELECT ROUND 10 PB3750   PB3750Rl0            757063375414,,,,,,,,,,,$2.85,,1,,,$8.65,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"3         No
2",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750Rl2           SELECT ROUND 12 P83750   PB3750Rl2            757063375421,,,,,,,,,,,$3.56,,1,,,$10.95,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"3         No
2",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750R2             SELECT ROUND 2 PB3750   PB3750R2              757063375353,,,,,,,,,,,$1.70,,1,,,$5.15,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"6         No
2",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750R3             SELECT ROUND 3 PB3750   PB3750R3              757063375360,,,,,,,,,,,$1.73,,1,,,$5.25,,,,EA,,,Yes,,,,ss,,,,,,,,,,2,,0,,"6         No
1",,,,,,,,,,,,,,,,,,,,,,,
ss   SSPB3750R30           SELECT ROUND 3/0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,6         No,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB3750   PB3750R30            757063375322                    $1.61                    $4.95      EA         Yes         ss                 0           3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes
Yes",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 134 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,Description,,,,,,,,,Dept          Ma_ufacturer                                      Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prodnct ID  Alternate ID,,,,Barcode,,,,,Cost,,,,Price          Unit     Tax          S upplierI       Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Min       Max            Deleted              Active
2                   QCom    QOH     Note        Multiplier
Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes Yes
Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fi,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
ss   SSPB3750R4            SELECT ROUND 4 PB3750   PB3750R4             757063375377,,,,,,,,,,$1.77,,,l,,$5.35,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"6         No
3",,,,,,,,,,,,,,,,,,,,,,
"ss   SS  PB3750R5           SELECT ROUND 5
PB3750   PB3750R5             757063375384",,,,,,,,,,$1.82,,,l,,$5.50,,,,,EA,,Yes,,,,ss,,,,,,,,,,2,,0,,,"4         No
l",,,,,,,,,,,,,,,,,,,,,,
